Фамилия,Имя,Отчество,Логин,Пароль,Email,Телефон,Группа,Специальность,Курс,Классный_руководитель,Кафедра_классного_руководителя,Факультет
Абрамов,Иван,Сергеевич,abramov_iv_new,pass123,abramov.iv.new@student.ru,89151111101,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Борисов,Петр,Алексеевич,borisov_pet_new,pass123,borisov.pet.new@student.ru,89151111102,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Воронов,Алексей,Дмитриевич,voronov_al_new,pass123,voronov.al.new@student.ru,89151111103,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Григорьев,Максим,Павлович,grigoriev_max_new,pass123,grigoriev.max.new@student.ru,89151111104,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Дмитриев,Николай,Викторович,dmitriev_nik_new,pass123,dmitriev.nik.new@student.ru,89151111105,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Егорова,Светлана,Игоревна,egorova_sv_new,pass123,egorova.sv.new@student.ru,89151111106,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Жуков,Андрей,Семенович,zhukov_and_new,pass123,zhukov.and.new@student.ru,89151111107,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Зайцева,Марина,Александровна,zaitseva_mar_new,pass123,zaitseva.mar.new@student.ru,89151111108,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Ильин,Владимир,Олегович,ilin_vlad_new,pass123,ilin.vlad.new@student.ru,89151111109,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Козлов,Денис,Романович,kozlov_den_new,pass123,kozlov.den.new@student.ru,89151111110,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Лебедева,Татьяна,Максимовна,lebedeva_tat_new,pass123,lebedeva.tat.new@student.ru,89151111111,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Макаров,Степан,Григорьевич,makarov_step_new,pass123,makarov.step.new@student.ru,89151111112,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Николаев,Андрей,Владимирович,nikolaev_and_new,pass123,nikolaev.and.new@student.ru,89151111113,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Орлова,Екатерина,Дмитриевна,orlova_ekat_new,pass123,orlova.ekat.new@student.ru,89151111114,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Павлов,Сергей,Николаевич,pavlov_ser_new,pass123,pavlov.ser.new@student.ru,89151111115,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Романова,Анна,Валерьевна,romanova_ann_new,pass123,romanova.ann.new@student.ru,89151111116,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Сергеев,Алексей,Игоревич,sergeev_alek_new,pass123,sergeev.alek.new@student.ru,89151111117,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Тимофеев,Дмитрий,Александрович,timofeev_dmit_new,pass123,timofeev.dmit.new@student.ru,89151111118,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Устинова,Ольга,Павловна,ustinova_olg_new,pass123,ustinova.olg.new@student.ru,89151111119,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
Федоров,Максим,Андреевич,fedorov_max_new,pass123,fedorov.max.new@student.ru,89151111120,1234,Программная инженерия,2,Смирнов Дмитрий,Кафедра программной инженерии,Информационных технологий
